id,caption,alttext,description,baseimageurl
3909,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS15779_dynmc
17327,,,,https://nrs.harvard.edu/urn-3:HUAM:52156_dynmc
87833,,,,https://nrs.harvard.edu/urn-3:HUAM:INV031490P_dynmc
134864,center panel of triptych,,,https://nrs.harvard.edu/urn-3:HUAM:78459_dynmc
49631,,,,https://nrs.harvard.edu/urn-3:HUAM:FEIN12047p_dynmc
86310,,,,https://nrs.harvard.edu/urn-3:HUAM:INV028584N_dynmc
44183,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP01670_dynmc
52783,,,,https://nrs.harvard.edu/urn-3:HUAM:INV002512_dynmc
10201,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS36168_dynmc
53409,,,,https://nrs.harvard.edu/urn-3:HUAM:INV003606_dynmc
119042,,,,https://nrs.harvard.edu/urn-3:HUAM:INV036137_dynmc
33287,,,,https://nrs.harvard.edu/urn-3:HUAM:46662_dynmc
95453,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP05765_dynmc
85555,,,,https://nrs.harvard.edu/urn-3:HUAM:INV027406_dynmc
143110,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN08243_dlvr
112128,,,,https://nrs.harvard.edu/urn-3:HUAM:INV012437_dynmc
93552,scissors,,,https://nrs.harvard.edu/urn-3:HUAM:CARP01375_dynmc
154516,,,,https://nrs.harvard.edu/urn-3:HUAM:INV022381_dynmc
53630,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS54066_dynmc
70735,,,,https://nrs.harvard.edu/urn-3:HUAM:INV034704_dynmc
55531,,,,https://nrs.harvard.edu/urn-3:HUAM:INV007893_dynmc
99134,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP12297_dynmc
5061,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS17187_dynmc
22015,,,,https://nrs.harvard.edu/urn-3:HUAM:62330_dynmc
39462,,,,https://nrs.harvard.edu/urn-3:HUAM:85223_dynmc
40537,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN05970_dlvr
67744,,,,https://nrs.harvard.edu/urn-3:HUAM:FEIN11975p_dynmc
133742,,,,https://nrs.harvard.edu/urn-3:HUAM:73341_dynmc
120877,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG103497_dynmc
71862,,,,https://nrs.harvard.edu/urn-3:HUAM:INV002614_dynmc
121214,pages 7 verso and 8 recto,,,https://nrs.harvard.edu/urn-3:HUAM:LEG120850_dynmc
133043,recto,,,https://nrs.harvard.edu/urn-3:HUAM:70328_dynmc
45539,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP04190_dynmc
134365,Four beakers 1949.114.2A-D,,,https://nrs.harvard.edu/urn-3:HUAM:76347_dynmc
151918,,,,https://nrs.harvard.edu/urn-3:HUAM:INV013523_dynmc
124345,,,,https://nrs.harvard.edu/urn-3:HUAM:OCP12492_dynmc
59980,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN09180_dlvr
123936,,,,https://nrs.harvard.edu/urn-3:HUAM:OCP10707_dynmc
48267,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP09678_dynmc
32173,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP06271_dynmc
88202,,,,https://nrs.harvard.edu/urn-3:HUAM:INV032774_dynmc
87699,,,,https://nrs.harvard.edu/urn-3:HUAM:INV031032_dynmc
158462,,,,https://nrs.harvard.edu/urn-3:HUAM:INV036120_dynmc
78026,,,,https://nrs.harvard.edu/urn-3:HUAM:INV013816_dynmc
20414,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS65736_dynmc
41782,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN08043_dlvr
143563,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN10025_dlvr
105960,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN17347_dlvr
131116,detail with makers mark,,,https://nrs.harvard.edu/urn-3:HUAM:50691_dynmc
157502,,,,https://nrs.harvard.edu/urn-3:HUAM:INV032857_dynmc
107866,,,,https://nrs.harvard.edu/urn-3:HUAM:FEIN12105p_dynmc
101139,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN01311_dynmc
110667,,,,https://nrs.harvard.edu/urn-3:HUAM:INV007760_dynmc
94527,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG11996_dynmc
142700,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN06583_dlvr
158345,,,,https://nrs.harvard.edu/urn-3:HUAM:INV035719N_dynmc
160983,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG130628p_dynmc
73281,,,,https://nrs.harvard.edu/urn-3:HUAM:INV005460_dynmc
158898,,,,https://nrs.harvard.edu/urn-3:HUAM:INV037574N_dynmc
69222,,,,https://nrs.harvard.edu/urn-3:HUAM:INV031921P_dynmc
92377,,,,https://nrs.harvard.edu/urn-3:HUAM:INV039428P_dynmc
121991,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG1742_dynmc
152239,,,,https://nrs.harvard.edu/urn-3:HUAM:INV014500N_dynmc
27514,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS33262_dynmc
3232,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS14223_dynmc
119295,,,,https://nrs.harvard.edu/urn-3:HUAM:INV036999N_dynmc
70739,,,,https://nrs.harvard.edu/urn-3:HUAM:INV034713_dynmc
119293,,,,https://nrs.harvard.edu/urn-3:HUAM:INV036989P_dynmc
13896,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS45481_dynmc
15108,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS47436_dynmc
111303,,,,https://nrs.harvard.edu/urn-3:HUAM:INV009668_dynmc
5449,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS18948_dynmc
92666,,,,https://nrs.harvard.edu/urn-3:HUAM:INV040529_dynmc
53625,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS54052_dynmc
153436,,,,https://nrs.harvard.edu/urn-3:HUAM:INV018399_dynmc
162430,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG4911_dynmc
110473,,,,https://nrs.harvard.edu/urn-3:HUAM:INV007152_dynmc
71174,,,,https://nrs.harvard.edu/urn-3:HUAM:INV001267_dynmc
123456,inverted from negative,,,https://nrs.harvard.edu/urn-3:HUAM:MBTA10039P_dynmc
142338,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN05033_dlvr
50722,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN00347_dynmc
112373,,,,https://nrs.harvard.edu/urn-3:HUAM:INV013161P_dynmc
116545,,,,https://nrs.harvard.edu/urn-3:HUAM:INV027416_dynmc
101667,,,,https://nrs.harvard.edu/urn-3:HUAM:OCP14666_dynmc
5287,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS18388_dynmc
98008,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP10410_dynmc
54594,,,,https://nrs.harvard.edu/urn-3:HUAM:INV005887_dynmc
88082,,,,https://nrs.harvard.edu/urn-3:HUAM:INV032324_dynmc
94316,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG103789p_dynmc
163249,,,,https://nrs.harvard.edu/urn-3:HUAM:OCP10253_dynmc
40134,page 36a,,,https://nrs.harvard.edu/urn-3:HUAM:VRS87319_dynmc
53686,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS60070_dynmc
15968,,,,https://nrs.harvard.edu/urn-3:HUAM:49446_dynmc
159057,,,,https://nrs.harvard.edu/urn-3:HUAM:INV038140_dynmc
38781,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN01846_dynmc
109373,,,,https://nrs.harvard.edu/urn-3:HUAM:INV002591_dynmc
121558,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG130637p_dynmc
155187,,,,https://nrs.harvard.edu/urn-3:HUAM:INV024611_dynmc
113313,,,,https://nrs.harvard.edu/urn-3:HUAM:INV016121P_dynmc
107152,negative,,,https://nrs.harvard.edu/urn-3:HUAM:Fein10178n_dlvr
102289,,,,https://nrs.harvard.edu/urn-3:HUAM:OCP15710_dynmc
140759,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP13402_dynmc
49192,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP11560_dynmc
94324,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG103807p_dynmc
109732,,,,https://nrs.harvard.edu/urn-3:HUAM:INV004044_dynmc
102153,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN03888_dynmc
59786,,,,https://nrs.harvard.edu/urn-3:HUAM:INV014546N_dynmc
29987,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP01882_dynmc
32652,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP06849_dynmc
123239,secondary,,,https://nrs.harvard.edu/urn-3:HUAM:LEG6328_dynmc
130694,panel 4,,,https://nrs.harvard.edu/urn-3:HUAM:48753_dynmc
73207,,,,https://nrs.harvard.edu/urn-3:HUAM:INV039324_dynmc
29042,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS36997_dynmc
121673,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG131959p_dynmc
163605,,,,https://nrs.harvard.edu/urn-3:HUAM:OCP11863_dlvr
143440,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN09512_dlvr
163323,,,,https://nrs.harvard.edu/urn-3:HUAM:OCP10537_dynmc
153025,,,,https://nrs.harvard.edu/urn-3:HUAM:INV017028_dynmc
50289,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP14354_dynmc
86992,,,,https://nrs.harvard.edu/urn-3:HUAM:INV029653_dynmc
70259,,,,https://nrs.harvard.edu/urn-3:HUAM:INV034093_dynmc
150717,,,,https://nrs.harvard.edu/urn-3:HUAM:INV009650_dynmc
33621,back,,,https://nrs.harvard.edu/urn-3:HUAM:70563_dynmc
160584,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG106384_dynmc
99347,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP13196_dynmc
82352,,,,https://nrs.harvard.edu/urn-3:HUAM:INV021256_dynmc
50868,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN00951_dynmc
38878,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN02287_dynmc
104511,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN11513_dlvr
80586,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG949_dynmc
48641,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP10359_dynmc
86445,,,,https://nrs.harvard.edu/urn-3:HUAM:INV029018_dynmc
113696,,,,https://nrs.harvard.edu/urn-3:HUAM:INV017413N_dynmc
66823,,,,https://nrs.harvard.edu/urn-3:HUAM:INV026888N_dynmc
121722,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG132675p_dynmc
103300,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN06693_dlvr
130335,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS47286_dynmc
146856,,,,https://nrs.harvard.edu/urn-3:HUAM:Fein10824p_dlvr
52705,,,,https://nrs.harvard.edu/urn-3:HUAM:INV002188_dynmc
153533,,,,https://nrs.harvard.edu/urn-3:HUAM:INV018794_dynmc
97896,,,,https://nrs.harvard.edu/urn-3:HUAM:LEG4525_dynmc
88035,,,,https://nrs.harvard.edu/urn-3:HUAM:INV032152_dynmc
98107,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP10839_dynmc
17477,,,,https://nrs.harvard.edu/urn-3:HUAM:53814_dynmc
139833,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP09743_dynmc
43591,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN12071_dlvr
48522,negative,,,https://nrs.harvard.edu/urn-3:HUAM:Fein10484n_dlvr
157058,,,,https://nrs.harvard.edu/urn-3:HUAM:INV031299_dynmc
156634,,,,https://nrs.harvard.edu/urn-3:HUAM:INV029742_dynmc
34309,,,,https://nrs.harvard.edu/urn-3:HUAM:72388_dynmc
133763,recto,,,https://nrs.harvard.edu/urn-3:HUAM:73432_dynmc
75864,recto,,,https://nrs.harvard.edu/urn-3:HUAM:LEG120626_dynmc
43303,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN12039_dlvr
127245,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS33204_dynmc
3548,,,,https://nrs.harvard.edu/urn-3:HUAM:VRS14016_dynmc
62402,,,,https://nrs.harvard.edu/urn-3:HUAM:COIN14641_dlvr
96035,,,,https://nrs.harvard.edu/urn-3:HUAM:CARP07180_dynmc
91181,,,,https://nrs.harvard.edu/urn-3:HUAM:INV037278P_dynmc
23990,front cover,,,https://nrs.harvard.edu/urn-3:HUAM:77572_dynmc
79548,,,,https://nrs.harvard.edu/urn-3:HUAM:INV016098N_dynmc
57245,,,,https://nrs.harvard.edu/urn-3:HUAM:72059_dynmc
120153,,,,https://nrs.harvard.edu/urn-3:HUAM:INV039942_dynmc
